experiment_id,fold_id,eval_video_id,model,inference,tracking,conf,iou,imgsz,f2,map50,recall,precision,ms_per_frame,seed,timestamp
exp02_yolov11,0,video_0,yolov11n,standard,none,0.25,0.45,640,0.0578392986378527,0.0578392986378527,0.05726256983240224,0.06564245810055866,15.779466378809657,42,2025-12-30T16:22:08.169606
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.25,0.45,640,0.0578392986378527,0.0578392986378527,0.05726256983240224,0.06564245810055866,15.529970683437341,42,2025-12-30T16:37:45.611106
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.001,0.45,640,0.08315382939545501,0.08315382939545501,0.08748584954203972,0.08856619607623004,15.8518647678423,42,2025-12-30T16:42:59.237169
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.01,0.45,640,0.08799194719331038,0.08799194719331038,0.0874895046179681,0.10278477469913237,16.952042645048937,42,2025-12-30T16:45:34.150904
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.05,0.45,640,0.07644990720560023,0.07644990720560023,0.07554397098821397,0.0894530069507404,16.032391918082286,42,2025-12-30T16:48:01.864472
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.1,0.45,640,0.06843790819870879,0.06843790819870879,0.06767327493468572,0.07922237590287382,17.77321366803164,42,2025-12-30T16:50:41.962624
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.15,0.45,640,0.06546119118660872,0.06546119118660872,0.06474448046935309,0.07588389686583294,17.474346844724906,42,2025-12-30T16:53:19.570945
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.2,0.45,640,0.05945764874482669,0.05945764874482669,0.05891004799504567,0.06758012076172783,16.016674027531078,42,2025-12-30T16:55:47.663293
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.25,0.45,640,0.0578392986378527,0.0578392986378527,0.05726256983240224,0.06564245810055866,17.164838193212155,42,2025-12-30T16:58:23.020928
exp03_conf_sweep,0,video_0,yolov11n,standard,none,0.3,0.45,640,0.05599597319054333,0.05599597319054333,0.05536130536130536,0.06363636363636363,16.337108100249644,42,2025-12-30T17:00:52.145048
exp06_sahi,0,video_0,yolov11n,sahi,none,0.01,0.45,640,0.004233782243181879,0.004233782243181879,0.0039733676975945015,0.007517182130584193,153.70525191351993,42,2025-12-30T17:21:40.194780
exp06_sahi,0,video_0,yolov11n,sahi,none,0.01,0.45,640,0.004223554784500812,0.004223554784500812,0.0039733676975945015,0.0074455899198167235,139.1359456039001,42,2025-12-30T18:03:07.286376
exp01_yolov5,0,video_0,yolov5n,standard,none,0.25,0.45,640,0.09454654806106358,0.09454654806106358,0.09264661879114304,0.12283064033512865,28.17164724898182,42,2025-12-30T21:44:53.261260
